Codi_Districte,Nom_Districte,Any,prestamos_presenciales,poblacion,pct_mayores,pct_joven,pct_extranjera,renta_per_capita,prestamos_per_capita,indice_base100,fondo_documental,oferta_per_capita,rotacion_fondo,ipc,renta_real
2,Eixample,2011,1126281,264296,21.9,27.5,17.8,,4.26,100.0,418681,1.58,2.69,,
2,Eixample,2012,997601,265593,21.8,27.2,18.2,,3.76,88.6,386993,1.46,2.58,,
2,Eixample,2013,707588,264967,21.8,26.9,18.6,,2.67,62.8,396197,1.5,1.79,,
2,Eixample,2014,910659,263564,22.0,26.6,18.5,,3.46,80.9,463490,1.76,1.96,,
2,Eixample,2015,693938,263557,22.2,26.5,18.2,23025.0,2.63,61.6,383706,1.46,1.81,95.9,24009.0
2,Eixample,2016,741483,264568,22.1,26.7,18.7,23900.0,2.8,65.8,393544,1.49,1.88,95.7,24974.0
2,Eixample,2017,749957,267270,22.0,27.1,20.2,24212.0,2.81,66.6,395953,1.48,1.89,97.7,24782.0
2,Eixample,2018,730682,266839,22.0,27.5,21.1,24418.0,2.74,64.9,406091,1.52,1.8,99.3,24590.0
2,Eixample,2019,730194,269173,21.8,27.7,22.9,25686.0,2.71,64.8,407392,1.51,1.79,100.0,25686.0
2,Eixample,2020,351076,270772,21.8,28.0,24.3,23751.0,1.3,31.2,386230,1.43,0.91,99.7,23822.0
2,Eixample,2021,599019,269349,21.7,27.7,25.3,24717.0,2.22,53.2,359100,1.33,1.67,102.8,24044.0
2,Eixample,2022,517771,266857,21.9,27.5,25.6,25994.0,1.94,46.0,358366,1.34,1.44,111.4,23334.0
2,Eixample,2023,657880,268824,21.8,27.7,27.1,,2.45,58.4,360202,1.34,1.83,,
2,Eixample,2024,665734,274636,21.6,27.5,28.9,,2.42,59.1,353089,1.29,1.89,,
3,Sants-Montjuïc,2010,157702,182977,19.2,29.4,19.8,,0.86,37.4,181343,0.99,0.87,,
3,Sants-Montjuïc,2011,421986,182733,19.3,29.0,19.8,,2.31,100.0,181182,0.99,2.33,,
3,Sants-Montjuïc,2012,376903,183970,19.3,28.7,20.2,,2.05,89.3,199316,1.08,1.89,,
3,Sants-Montjuïc,2013,315091,182741,19.6,28.1,20.1,,1.72,74.7,202774,1.11,1.55,,
3,Sants-Montjuïc,2014,351437,180833,20.0,27.6,19.4,,1.94,83.3,200368,1.11,1.75,,
3,Sants-Montjuïc,2015,350862,180813,20.1,27.3,18.5,17793.0,1.94,83.1,202188,1.12,1.74,95.9,18554.0
3,Sants-Montjuïc,2016,312872,181187,20.1,27.3,18.7,18023.0,1.73,74.1,206306,1.14,1.52,95.7,18833.0
3,Sants-Montjuïc,2017,303984,182381,20.1,27.5,19.7,18127.0,1.67,72.0,212143,1.16,1.43,97.7,18554.0
3,Sants-Montjuïc,2018,288267,182210,20.1,27.7,20.3,18459.0,1.58,68.3,215760,1.18,1.34,99.3,18589.0
3,Sants-Montjuïc,2019,265151,185481,19.9,28.0,22.3,19219.0,1.43,62.8,219300,1.18,1.21,100.0,19219.0
3,Sants-Montjuïc,2020,137227,187615,19.8,28.2,23.8,17983.0,0.73,32.5,216861,1.16,0.63,99.7,18037.0
3,Sants-Montjuïc,2021,239276,187026,19.8,27.8,24.4,19471.0,1.28,56.7,218490,1.17,1.1,102.8,18941.0
3,Sants-Montjuïc,2022,273893,183770,20.2,27.5,23.9,20357.0,1.49,64.9,216633,1.18,1.26,111.4,18274.0
3,Sants-Montjuïc,2023,294483,185963,20.2,27.8,25.1,,1.58,69.8,213962,1.15,1.38,,
3,Sants-Montjuïc,2024,325608,191391,19.9,28.1,27.0,,1.7,77.2,207927,1.09,1.57,,
4,Les Corts,2010,80468,82750,21.8,29.3,12.8,,0.97,37.6,126229,1.53,0.64,,
4,Les Corts,2011,214283,82337,22.4,28.9,12.5,,2.6,100.0,129103,1.57,1.66,,
